"year.from","month.from","day.from","year.to","month.to","week.to","numdate","smallpox"
1667,11,26,1667,12,3,1667.923288,97
1669,12,14,1669,12,21,1669.972603,58
1672,7,30,1672,8,6,1672.59726,42
1674,10,13,1674,10,20,1674.80274,121
1677,8,14,1677,8,21,1677.638356,58
1678,12,3,1678,12,10,1678.942466,67
1681,8,23,1681,8,30,1681.663,168
1684,1,8,1684,1,15,1684.041,93
1685,8,11,1685,8,18,1685.63,99
1687,9,27,1687,10,4,1687.759,64
1689,8,13,1689,8,20,1689.636,69
1691,8,18,1691,8,25,1691.649,50
1694,10,9,1694,10,16,1694.792,144
1698,8,2,1698,8,9,1698.605,57
1700,10,1,1700,10,8,1700.77,56
1704,7,25,1704,8,1,1704.584,47
1705,11,6,1705,11,13,1705.868,49
1707,12,23,1707,12,30,1707.997,79
1710,7,18,1710,7,25,1710.564,105
1712,7,8,1712,7,15,1712.537,72
1714,6,8,1714,6,15,1714.455,97
1716,10,9,1716,10,16,1716.792,125
1719,6,30,1719,7,7,1719.515,106
1721,2,28,1721,3,7,1721.181,76
1723,1,15,1723,1,22,1723.06,123
1725,6,22,1725,6,29,1725.493,92
1727,9,12,1727,9,19,1727.718,89
1729,9,23,1729,9,30,1729.748,85
1731,7,27,1731,8,3,1731.589,91
1732,10,10,1732,10,17,1732.795,40
1734,5,21,1734,5,28,1734.405,87
1736,7,6,1736,7,13,1736.532,119
1737,8,16,1737,8,23,1737.644,84
1740,7,15,1740,7,22,1740.556,94
1741,9,8,1741,9,15,1741.707,65
1743,12,6,1743,12,13,1743.951,61
1746,6,3,1746,6,10,1746.441,105
1747,11,24,1747,12,1,1747.918,51
1748,11,29,1748,12,6,1748.932,78
1752,5,26,1752,6,2,1752.419,125
1754,12,3,1754,12,10,1754.942,84
1757,7,12,1757,7,19,1757.548,105
1759,12,25,1760,1,1,1760.003,124
1762,11,23,1762,11,30,1762.915,137
1764,11,6,1764,11,13,1764.868,88
1765,12,3,1765,12,10,1765.942,73
1767,12,8,1767,12,15,1767.956,109
1769,11,28,1769,12,5,1769.929,67
1772,9,8,1772,9,15,1772.707,139
1774,12,6,1774,12,13,1774.951,118
1777,1,7,1777,1,14,1777.038,108
1779,8,3,1779,8,10,1779.608,95
1781,8,21,1781,8,28,1781.658,138
1783,11,11,1783,11,18,1783.882,89
1785,9,6,1785,9,13,1785.701,94
1787,7,17,1787,7,24,1787.562,86
1789,10,6,1789,10,13,1789.784,97
1791,11,22,1791,11,29,1791.912,98
1793,11,26,1793,12,3,1793.923,119
1796,8,2,1796,8,9,1796.605,120
1798,9,25,1798,10,2,1798.753,108
1800,9,23,1800,9,30,1800.748,135
1802,11,23,1802,11,30,1802.915,88
1805,12,10,1805,12,17,1805.962,84
1807,11,17,1807,11,24,1807.899,78
1809,1,3,1809,1,10,1809.027,46
1810,11,13,1810,11,20,1810.888,46
1812,8,11,1812,8,18,1812.63,61
1814,11,22,1814,11,29,1814.912,35
1817,7,1,1817,7,8,1817.518,42
1820,1,25,1820,2,1,1820.088,34
1823,11,4,1823,11,11,1823.863,36
1825,10,4,1825,10,11,1825.778,56
1826,9,19,1826,9,26,1826.737,28
1827,10,9,1827,10,16,1827.792,31
1830,1,5,1830,1,12,1830.033,32
1832,9,11,1832,9,18,1832.715,34
1835,11,17,1835,11,24,1835.899,29
1838,9,25,1838,10,2,1838.753,45
1841,1,19,1841,1,26,1841.071,17
1844,12,28,1845,1,4,1845.011,61
1848,10,21,1848,10,28,1848.825,47
1852,5,8,1852,5,15,1852.37,46
1855,5,12,1855,5,19,1855.381,45
1859,12,24,1859,12,31,1860,46
1863,5,2,1863,5,9,1863.353,71
1867,1,26,1867,2,2,1867.09,55
1871,4,29,1871,5,6,1871.345,288
1876,12,30,1877,1,6,1877.016,116
1878,4,13,1878,4,20,1878.301,80
1881,5,14,1881,5,21,1881.387,103
1885,1,10,1885,1,17,1885.047,47
1893,5,20,1893,5,27,1893.403,16
1902,3,8,1902,3,15,1902.203,81
1911,3,4,1911,3,11,1911.192,6
1922,11,4,1922,11,11,1922.863,12
